sheet,T_K,species,class,log10P_workbook,log10P_shadow,envelope_status,gas_channel_in_domain,refusal_code
kom,2250,Na,K-NA-INFORMATIONAL,-2.9440623395928354,-4.1807997465103472,inside,True,
kom,2250,K,K-NA-INFORMATIONAL,-4.2374867096410949,-6.3926188336015128,inside,True,
kom,2375,O2,UNGATEABLE,-3.146267119039778,-3.1463694293109796,inside,,
kom,2375,Mg,FAIL,-4.7111589987045539,-4.5694047000431972,inside,False,
kom,2375,SiO,FAIL,-4.3538463346769527,-3.8249223409540432,inside,True,
kom,2375,SiO2,FAIL,-5.2336007619861329,-5.1175091990860873,inside,False,
kom,2375,Fe,FAIL,-4.2888618465994632,-4.0208593945657558,inside,False,
kom,2375,FeO,FAIL,-4.7154688824100655,-4.4628086701413423,inside,False,
kom,2375,Na,K-NA-INFORMATIONAL,-2.5389700856839075,-3.7821596558397119,inside,True,
kom,2375,K,K-NA-INFORMATIONAL,-3.856555804240974,-5.9668037175095119,inside,True,
kom,2500,O2,UNGATEABLE,-2.7798683665118511,-2.7798438208846861,inside,,
kom,2500,Mg,FAIL,-4.1350604129322344,-3.9646880188686362,inside,False,
kom,2500,SiO,FAIL,-3.658980578307172,-3.1690269810637117,inside,True,
kom,2500,SiO2,FAIL,-4.6015545930190598,-4.4928258695211554,inside,False,
kom,2500,Fe,FAIL,-3.7985987785811206,-3.5193443422569115,inside,False,
kom,2500,FeO,FAIL,-4.2473328352317301,-3.9686622645078988,inside,False,
kom,2500,Na,K-NA-INFORMATIONAL,-2.1798200258106468,-3.4291776775450518,inside,True,
kom,2500,K,K-NA-INFORMATIONAL,-3.5183351212003267,-5.5854112328577452,inside,True,
dun,1500,O2,UNGATEABLE,-6.6339524727903409,-6.6339130962942718,inside,,
dun,1500,Mg,EXTRAPOLATED-INFORMATIONAL,-11.604079458274306,-12.148368371113611,inside,False,
dun,1500,SiO,EXTRAPOLATED-INFORMATIONAL,-13.134116772282493,-12.601007878952482,inside,False,
dun,1500,SiO2,EXTRAPOLATED-INFORMATIONAL,-12.887492859790276,-13.099096793026481,inside,False,
dun,1500,Fe,EXTRAPOLATED-INFORMATIONAL,-10.326473724402492,-10.327482601517998,inside,False,
dun,1500,FeO,EXTRAPOLATED-INFORMATIONAL,-10.10144972295682,-10.320031962417943,inside,False,
dun,1500,Na,K-NA-INFORMATIONAL,-6.1348016521059252,-7.210645496842969,inside,True,
dun,1500,K,K-NA-INFORMATIONAL,-6.6992928050714013,-8.6199348631878063,inside,True,
dun,1625,O2,UNGATEABLE,-5.814560127448722,-5.814732862613134,inside,,
dun,1625,Mg,EXTRAPOLATED-INFORMATIONAL,-10.12121328525661,-10.47073915835483,inside,False,
dun,1625,SiO,EXTRAPOLATED-INFORMATIONAL,-11.469240691644981,-10.897840267294823,inside,False,
dun,1625,SiO2,EXTRAPOLATED-INFORMATIONAL,-11.412197472464024,-11.520615669579641,inside,False,
dun,1625,Fe,EXTRAPOLATED-INFORMATIONAL,-9.0902722658416675,-8.9980307409251452,inside,False,
dun,1625,FeO,EXTRAPOLATED-INFORMATIONAL,-8.9557060696754149,-9.0358661315761886,inside,False,
dun,1625,Na,K-NA-INFORMATIONAL,-5.3032936951888576,-6.3468677350735856,inside,True,
dun,1625,K,K-NA-INFORMATIONAL,-5.9195759183800591,-7.7205012103601982,inside,True,
dun,1750,O2,UNGATEABLE,-5.114215436152806,-5.1139739362931849,inside,,
dun,1750,Mg,FAIL,-8.8577835977888295,-9.0530103502766437,inside,False,
dun,1750,SiO,FAIL,-10.020595093635453,-9.4403516200926347,inside,False,
dun,1750,SiO2,FAIL,-10.127045417865634,-10.169175356554819,inside,False,
dun,1750,Fe,FAIL,-8.0336153181210133,-7.8725391271776042,inside,False,
dun,1750,FeO,FAIL,-7.9775798776009585,-7.9508365382030455,inside,False,
